goos: linux
goarch: amd64
pkg: go.uber.org/yarpc/transport/internal/connpool
cpu: AMD EPYC 7B13
BenchmarkFullRequestPathParallel/conns=16-48          	 2962514	       200.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkFullRequestPathParallel/conns=32-48          	 5743594	       102.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkFullRequestPathScalingDisabled/conns=1-48    	115837970	         5.161 ns/op	       0 B/op	       0 allocs/op
BenchmarkFullRequestPathScalingDisabled/conns=2-48    	94123404	         6.321 ns/op	       0 B/op	       0 allocs/op
BenchmarkFullRequestPathScalingDisabled/conns=4-48    	75357003	         8.019 ns/op	       0 B/op	       0 allocs/op
BenchmarkFullRequestPathScalingDisabled/conns=8-48    	47666941	        12.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkFullRequestPathScalingDisabled/conns=16-48   	30062304	        20.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkFullRequestPathScalingDisabled/conns=32-48   	15682178	        35.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkFullRequestPathScalingDisabledParallel/conns=1-48         	15584282	        39.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkFullRequestPathScalingDisabledParallel/conns=2-48         	 5245440	       111.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkFullRequestPathScalingDisabledParallel/conns=4-48         	 3605076	       166.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkFullRequestPathScalingDisabledParallel/conns=8-48         	 2940831	       206.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkFullRequestPathScalingDisabledParallel/conns=16-48        	 3136101	       184.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkFullRequestPathScalingDisabledParallel/conns=32-48        	 6414946	        93.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkMaybeScaleDownAtMinConns-48                               	100000000	         5.136 ns/op	       0 B/op	       0 allocs/op
BenchmarkMaybeScaleDownHighLoad/conns=2-48                         	72791858	         8.576 ns/op	       0 B/op	       0 allocs/op
BenchmarkMaybeScaleDownHighLoad/conns=4-48                         	54138090	        10.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkMaybeScaleDownHighLoad/conns=8-48                         	 8402287	        65.78 ns/op	      64 B/op	       1 allocs/op
BenchmarkMaybeScaleDownHighLoad/conns=16-48                        	 5828289	       104.3 ns/op	     128 B/op	       1 allocs/op
BenchmarkMaybeScaleDownHighLoad/conns=32-48                        	 3253368	       169.6 ns/op	     256 B/op	       1 allocs/op
BenchmarkMaybeScaleDownTriggered/conns=2-48                        	 2542642	       233.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkMaybeScaleDownTriggered/conns=4-48                        	 2193385	       244.9 ns/op	     384 B/op	       1 allocs/op
